name,installationStatus,healthStatus,syncStatus,createdAt,finishedAt
codefresh-hosted-0,COMPLETED,PROGRESSING,PROGRESSING,17:30:23,17:39:46
codefresh-hosted-1,COMPLETED,PROGRESSING,PROGRESSING,17:39:18,17:42:51
codefresh-hosted-2,COMPLETED,HEALTHY,HEALTHY,17:39:28,17:39:46
codefresh-hosted-3,COMPLETED,HEALTHY,HEALTHY,17:39:36,17:42:51
codefresh-hosted-4,,,,17:39:45,
